아가,152,54
카사,164,57
사라,179,49
파파,197,82
하파,188,86
바나,146,42
사라,166,76
라카,185,58
가가,195,60
하차,183,69
파가,192,93
아자,178,88
아아,166,81
카다,171,43
바다,196,92
하가,199,50
카카,161,45
아하,159,48
라자,199,46
파파,155,89
파파,159,79
타타,173,45
다하,164,50
사차,150,95
마타,190,79
라사,187,88
타카,147,68
라하,158,51
차바,198,57
타사,153,52
다하,184,58
하타,140,73
타라,190,46
바마,196,99
타하,168,97
하카,150,51
타바,171,77
파타,189,63
나타,177,91
나나,160,98
아가,161,44
바가,170,78
하하,184,47
아파,198,49
사라,171,81
마타,198,76
다가,169,90
자사,157,81
하마,149,95
아라,193,60
나사,169,94
다타,187,43
카카,182,64
아마,172,55
라라,174,87
하가,164,72
사바,177,94
하파,179,56
아라,191,82
카다,140,90
가파,166,64
바나,182,45
바아,147,71
차타,178,98
라파,165,57
라라,158,80
카타,194,91
파다,191,48
타다,164,88
하다,152,87
아나,167,70
카파,174,75
다자,164,85
하가,196,98
가파,149,74
아차,169,82
차가,165,86
카타,154,40
카마,193,83
카다,146,63
차나,193,65
라아,166,88
나아,196,80
하아,149,83
아라,142,59
라바,154,90
자다,160,69
사마,166,53
라나,159,90
마다,194,70
바나,184,77
카하,149,42
다사,180,78
가타,160,49
자바,198,64
바차,193,94
하자,196,77
아자,188,81
바마,181,89
타사,166,88
파카,161,43
마파,168,61
다차,181,48
마차,192,97
아타,140,46
자차,149,79
하마,143,50
나바,178,59
다라,155,74
나나,180,92
타사,150,74
사가,148,53
카나,153,56
카차,140,82
파나,179,68
다사,172,57
사하,169,83
사사,184,99
아타,141,90
파바,168,74
사아,161,63
자라,167,90
다나,195,61
가사,143,93
카나,150,94
파다,177,93
아자,181,91
카카,162,53
타라,172,64
사가,156,47
타하,170,64
자자,146,71
파바,157,75
아아,190,78
아자,158,67
아가,170,76
타카,198,64
타자,165,85
나파,178,82
차가,183,81
차하,153,99
다차,163,64
아사,141,71
차바,146,71
가카,144,54
차다,192,43
마차,145,64
타타,143,71
차아,198,52
하아,169,85
타자,145,68
사다,146,99
자라,167,61
카자,169,41
가하,151,74
파카,176,69
차사,186,54
자차,192,97
바바,195,83
타나,178,64
마라,198,74
마다,151,95
타카,161,61
하타,159,45
카다,184,42
다카,168,60
자카,176,96
하하,192,92
가사,162,86
사차,172,61
다마,165,71
자다,166,88
자나,181,92
파사,184,73
